c,debt_bc,ec_bc,gdp_bc,gini_bc,innov_bc,mob_bc,prog_bc,score,rank
Albania,-0.12462929412446547,-1.047400101897081,-0.5786679694792093,-0.9727287623071064,-1.1032233088205703,-0.7061053863794281,-0.4284753600638238,-4.9612301830716845,54
Argentina,-0.8816526862843327,-0.9597875759536459,-0.11869710513681214,0.23566128471961179,-0.9359683361734809,-0.5856412432827246,0.0414886876042136,-3.204596974507171,49
Armenia,0.07324257273245072,-1.100210748752863,-0.46604565522529334,0.8072894198060776,-0.7139556103265032,-0.8229420048124964,-0.36158615555623763,-2.5842081821348653,46
Australia,0.23433382061462812,-1.1989655241759358,0.9234096609636112,-0.7517950552493111,0.7411380193602475,0.8935270202187314,1.0827631146440286,1.924411056376,25
Austria,-0.6480718171393985,1.653959579716928,0.9918641310456929,-0.5419523848414437,0.8938669652342425,1.3805687581378165,1.1090991900566158,4.839334422210453,10
Bangladesh,0.6987175870160833,-1.4057973775314432,-2.0756061174628226,-1.285902487004606,-1.6064088466483681,-1.632095659514181,-2.0287102145354075,-9.335803115680745,60
Belgium,-1.189808193211005,0.6342663122006588,0.9438134860684035,-0.4775732040676897,0.7131011420667436,1.3805687581378165,1.0100849376870407,3.0144532388819685,16
Brazil,-0.8912793570755374,-0.5732783720482306,-0.6379268410763492,0.5194603780353153,-0.40999951704837995,-0.9426974796538267,-0.7114769532661371,-3.6471981421331456,50
Bulgaria,2.5958945110747886,-0.20004081868077073,0.2473344325619719,-2.905790617415757,0.04263481781124804,-0.0915921450259129,-0.1521346923129317,-0.46369451198736356,36
Canada,-1.185624581397869,-0.0799889953555568,0.7983222408468422,-0.5808392360470938,1.0712972720480762,0.9884250322764045,1.1234920897515943,2.135083822122398,21
Chile,0.7591391149853355,-0.9349123275183993,0.051497208151199625,1.3239165629111873,-0.4180461174938076,-0.36420833468306135,0.27369377426922425,0.6910798806216785,32
China,-0.9270303487296193,0.8756737357206038,-0.372848777319968,-0.9435179535628946,1.2986534534546978,-0.27247208719273286,-1.2262073007018393,-1.5677492783317524,40
Colombia,0.017848855936561592,-0.6824710482379607,-0.5678170021284682,-0.11339699034345659,-0.6971812722807397,-1.0583860901986508,-0.8488025328726304,-3.9502060801253447,51
Costa Rica,-0.21865943129936305,-0.44771313499739085,-0.18730635726807135,-0.9775797881203957,-0.7729968885866448,-0.26474581256368207,0.259410021031203,-2.609591391804345,47
Ivory Coast,-0.11332529323166818,-1.445038765983648,-2.383138282123653,-0.11051336506952485,-1.7650247153609693,-1.899349495210222,-2.1822956962093687,-9.898685613189054,61
Croatia,-0.17971594717460013,0.2005666236264275,0.45933421508358885,1.0755519268450424,-0.1259516160561247,0.1459379674775415,0.44465163810707126,2.0203748079089467,23
Cyprus,-0.5280681924229333,-0.6036187115370851,0.7140091379231527,-0.8375912254675811,0.5287498314590267,0.37657586611066746,0.5415263379321933,0.19158304399744047,34
Czech Republic,0.4717120890853691,1.6363260219134117,0.6465283214918447,-0.5476335324908722,0.44960790720555194,0.8559192629958384,0.7718688630866308,4.2843289332877745,11
