c,debt_bc,ec_bc,gdp_bc,gini_bc,innov_bc,mob_bc,prog_bc,score,rank
Malaysia,-0.4059720402421136,0.41880658129754517,0.19874832288771152,0.5683297948588805,0.19290675708040622,-0.23371519515347275,-0.43251019477046526,0.3065940259584918,33
Mexico,-0.03135525494035808,0.7989494344897067,-0.31238933525665086,0.71099636327897,-0.5973899108303903,-0.9098400111566562,-0.7520990470010462,-1.093127761416425,38
Moldova,0.9935015984954383,-0.9349123275183993,-0.9054196268457859,2.1802619691870557,-0.7391954523656928,-0.41688644379599665,-0.4214091587953527,-0.24405944163873333,35
Netherlands,0.3299901209023574,0.3493221033574797,1.0526663087990153,-0.18195117044491899,1.4626823737824632,1.6151450695717957,1.2199456608804011,5.847800466848594,6
Norway,0.9394229473186869,-0.32670289925508283,1.3365948745243754,-0.6278305662916202,0.8108654619379275,1.7401685502267097,1.4364450726259002,5.308963441086897,8
Pakistan,-0.5573288875498047,-1.2946145056325322,-2.870111608486185,0.0673943434219194,-1.3306067195661435,-1.8010315554420138,-2.375151692804529,-10.161450626059288,62
Panama,0.030434406504188317,-0.9842424292314611,0.27981940172885506,1.0212835881807105,-1.0854028297906733,-0.9881707493897489,-0.4385583632988778,-2.1648369752970074,43
Paraguay,0.590373916494153,-1.2123259702429647,-0.8977808469104713,0.87967773182586,-1.3398902951567002,-1.27169409847818,-0.9309883995383462,-4.1826279620066495,52
Peru,1.3671434214962974,-1.369008767903129,-0.9693549027426624,1.8988583315947534,-0.9099619198119726,-1.0835423790243028,-0.765586386592023,-1.8314526029830391,42
Poland,-0.011071259039530514,0.5180466148995139,0.5483032958051106,1.4978559728074243,-0.07192114362354399,0.3504975684382042,0.20686928415282432,3.038580333440003,14
Portugal,-1.0336385734481726,0.1088467040239708,0.5313316039177831,0.8049968690735853,0.4279005400362479,0.6073197954965699,0.7209754777867259,2.1677324168867105,19
Romania,0.07759755025945671,0.8756737357206038,0.5102888981053958,0.5468061731022936,-0.35391926729499945,-0.14734546707410798,-0.14376556434339133,1.3653360584752512,27
Serbia,0.2589060614575341,-0.05541812027168718,-0.21535741672692124,2.685627158829825,-0.44223943075773386,-0.0915921450259129,-0.2570456747772786,1.8828804327278255,26
Slovakia,-0.172505766040318,0.9850495073463374,0.425604963572419,0.5157249444377574,-0.28243408569796635,0.2986798712364109,0.32995217960363854,2.1000716144582787,22
Slovenia,-0.4384414112736599,1.3269090377276236,0.6703619106628755,-0.3772367410090733,0.1705392772593894,1.0171391939048067,0.6565832040515822,3.0258544713235445,15
Spain,-1.2077087877575106,0.14787498744091226,0.6240716210151432,-0.4974307745297337,0.5144125497066243,0.42907135941335967,0.7904408844683909,0.8007318397571861,31
Sweden,1.0985733397423136,1.4625593787061464,0.9400633886994921,-1.2900801801233492,1.8275632490219178,1.729680893008412,1.274583620447202,7.042943689502135,2
Switzerland,1.0412230940383511,2.319875029833366,1.2253662102009273,-0.15813518886706138,2.014923059720938,1.5841716106528156,1.377311953503238,9.404735769082574,1
Thailand,-0.34771749937356394,0.6195753701226221,-0.442507615305548,0.9371392667477648,-0.07961709922855237,-0.7200391508904226,-0.8516536791896447,-0.8848204071173447,37
Ukraine,-1.0484006443142826,-0.4043633466117788,-0.8484414561609308,0.962410936735222,-0.6720971298453748,-0.2955755997187761,-0.42342875403201796,-2.729895993947939,48
United Kingdom,-1.1441240329864764,1.1452708112351075,0.7489773619966655,-0.6259005338222685,1.6049607336894833,0.8278452380040915,0.8814784908119426,3.4385080689285457,12
United States,-1.3874297075652637,1.2106671618682918,1.0970057289811739,-0.9626835243561367,1.6945397369330968,0.46431939035457537,0.7094455507148337,2.825864336930571,17
Uruguay,-0.2631872869420407,-0.758333944980252,0.08211761043957895,0.010890770045686985,-0.7055632515791593,0.17952916221929183,0.21778940879567935,-1.236757532001215,39
Vietnam,1.3195986980175887,-0.6434185593378934,-1.1287129558337587,-0.40445915437634655,-0.13370076295812727,-0.5495202548060639,-1.0037963577619198,-2.544009347056521,45
